entity_id,entity_name,desc
1001,小米|小米公司|小米科技有限责任公司|XIAOMI,"北京小米科技有限责任公司成立于2010年3月3日 [1]  ，是一家专注于智能硬件和电子产品研发的移动互联网公司，同时也是一家专注于高端智能手机、互联网电视以及智能家居生态链建设的创新型科技企业。 [2] 
为发烧而生”是小米的产品概念。小米公司创造了用互联网模式开发手机操作系统、发烧友参与开发改进的模式。小米还是继苹果、三星、华为之后第四家拥有手机芯片自研能力的科技公司。"
1002,小米,小米，原名：粟，也称作粱、狗尾草、黄粟、粟米，拉丁文名：Setaria italica (L.) Beauv. var. germanica (Mill.) Schrad. 禾本科、狗尾草属一年生草本，须根粗大，秆粗壮，粟是谷子去皮后的结果，谷子是谷类植物，禾木本的一种，粟的营养价值很高，含丰富的蛋白质和脂肪和维生素，它不仅供食用，入药有清热、清渴，滋阴，补脾肾和肠胃，利小便、治水泻等功效，又可酿酒。其茎叶又是牲畜的优等饲料，它含粗蛋白质5-7%，超过一般牧草的含量1.5-2倍，而且纤维素少，质地较柔软，为骡、马所喜食；其谷糠又是猪、鸡的良好饲料。
1003,小米,小米是在电视剧《武林外传》中登场的次要人物，同福客栈门口的乞丐，丐帮四袋弟子。他是一个有休息日的乞丐，每逢初一十五，小米自己给自己放假，如果你把铜板扔到他的破碗里，他会毫不犹豫还给你。不过你可别以为他就这么不要了，哈哈，当休息日一过，小米又开工时，他可是会抢回本属于自己的铜板的哦！
1004,苹果|apple,"苹果是水果中的一种，是蔷薇科苹果亚科苹果属植物，其树为落叶乔木。苹果的果实富含矿物质和维生素，是人们经常食用的水果之一。
苹果是一种低热量食物，每100克产生60千卡热量。苹果中营养成分可溶性大，易被人体吸收，故有“活水”之称。其有利于溶解硫元素，使皮肤润滑柔嫩"
1005,苹果|Apple|Apple Inc.|苹果公司|AAPL,苹果公司（Apple Inc. ）是美国一家高科技公司。由史蒂夫·乔布斯、斯蒂夫·沃兹尼亚克和罗·韦恩(Ron Wayne)等人于1976年4月1日创立，并命名为美国苹果电脑公司（Apple Computer Inc. ），2007年1月9日更名为苹果公司，总部位于加利福尼亚州的库比蒂诺。
1006,华盛顿|华盛顿总统,乔治·华盛顿（George Washington，1732年2月22日—1799年12月14日）， [1]  美国杰出的资产阶级政治家、军事家、革命家，美国开国元勋、国父、首任总统。华盛顿由于扮演了美国独立战争和建国中最重要的角色，故被尊称为“美国国父”，又称“合众国之父”。学者们则将他和亚伯拉罕·林肯、富兰克林·罗斯福并列为美国历史上最伟大的总统。乔治·华盛顿被美国的权威期刊《大西洋月刊》评为影响美国的100位人物第2名。
1007,华盛顿|华盛顿州,"华盛顿州（State of Washington）是位于美国西北部的一个州。该州首府为奥林匹亚，最大城市为西雅图。华盛顿州北接加拿大的不列颠哥伦比亚省，南接俄勒冈州，东接爱达荷州，西邻太平洋。该州以美国第一任总统乔治·华盛顿的名字命名，并于1889年11月11日加入联邦，成为美国第42个州。
华盛顿州的农业和林业极为发达，制造业和高科技产业也是其重要产业。该州不仅拥有波音公司的生产线，微软和亚马逊公司也均将总部设在了华盛顿州。"
1008,华盛顿|华盛顿哥伦比亚特区|DC|Washington D.C.,华盛顿哥伦比亚特区（Washington D.C.），简称华盛顿，又称华都、华府，美利坚合众国的首都，得名于美国首任总统乔治·华盛顿，靠近弗吉尼亚州和马里兰州，位于美国的东北部、中大西洋地区，是1790年作为首都而设置、由美国国会直接管辖的特别行政区划，因此不属于美国的任何一州。华盛顿2016年的实际地区生产总值为1093亿美元，位列美国各州第34位，其中主要产业均与政府机构相关，是大多数美国联邦政府机关与各国驻美国大使馆的所在地，也是世界银行、国际货币基金组织、美洲国家组织等国际组织总部的所在地，还拥有为数众多的博物馆与文化史迹。
1009,黑莓|BlackBerry Limited|黑莓公司|黑莓手机公司,黑莓公司是加拿大的一家通信公司，主要产品为手提通讯设备黑莓手机。黑莓手机（BlackBerry）是加拿大BlackBerry公司的一家手提无线通信设备品牌，于1999年创立。其特色是支援推动式电子邮件、行动电话、文字短信、互联网传真、网页浏览及其他无线资讯服务。较新的型号亦加入个人数码助理功能如电话簿、行事历等及话音通讯功能。大部分BlackBerry设备附设小型但完整的QWERTY键盘，方便用户输入文字。
1010,黑莓|blackberry,黑莓（Blackberry），也称露莓，原产地北美洲，属蔷薇科悬钩子多年生藤本植物，从两千多年前的古希腊开始，当地人已形成采食野生有刺黑莓的习俗，是近年风靡全球的第三代水果的代表品种，被联合国粮农组织认定第三代新型特种果，也被欧美国家赞誉为“生命之果”、“黑钻石”。1986年，江苏省植物研究所历经数年栽培研究终于在南京溧水区白马镇引种种植成功。黑莓极不容易保存，采摘后4小时内必须清洗杀菌急冻保存，否则营养成分大量流失且发酵变质，目前中国出产黑莓主要加工成冻果出口到欧美，澳洲等地，因此黑莓成为唯一一种难以在市场上买到鲜果的水果！
1011,凤凰|凤凰古城,凤凰古城，位于湖南省湘西土家族苗族自治州的西南部，土地总面积约10平方千米。2010年底约5万人口，由苗族、汉族、土家族等28个民族组成，为典型的少数民族聚居区。
1012,凤凰|Phx,凤凰是基于魔兽争霸3：冰封王座（由暴雪娱乐公司出品）的多人实时对战自定义地图DotA（Defense of the Ancients）里近卫军团的一名力量英雄，他同样也是DOTA中第三个力量型远程英雄位于近卫力量酒馆2。他是的另一个名字是伊卡洛斯是Icarus。希腊神话中代达罗斯的儿子。
1013,凤凰|台风凤凰,"凤凰，2008年第8号台 [1]  风，“凤凰”形成于2008年7月24日，2008年7月27日以强烈热带风暴的风力登陆中国福建省，并在以西北方向深入江西省后逐渐减弱消散。
2008年第8号热带风暴“凤凰”于7月25日下午在西北太平洋洋面上生成，26日下午加强为台风，27日夜间加强为强台风。28日6时30分前后“凤凰”以强 台风的强度(45米/秒，14级)在台湾花莲南部沿海第一次登陆，22时在福建福清东瀚镇再次登陆，登陆时为台风强度(33米/秒，12级)。登陆后， “凤凰”深入陆地，强度逐渐减弱。29日夜间，在滞留福建23小时之后，“凤凰”进入江西东北部，30日14时在江西鄱阳县境内减弱为热带低压，31日2 时，中央气象台停止编号。"
1014,银河|银河系,"银河是指横跨星空的一条乳白色亮带，在欧洲古代古希腊称为γαλαξ?α? “乳之路”，在中国古代又称天河、银汉、星河、星汉、云汉。
银河在天鹰座与天赤道相交，在北半天球。银河在天球上勾画出一条宽窄不一的带，称为银道带，它的最宽处达30°，最窄处只有4°～5°，平均约20°，这只是银河系中的一部分。"
1015,狮子座,狮子座（拉丁语：Leo，天文符号：?）黄道带星座之一，面积946.96平方度，占全天面积的2.296%，在全天88个星座中，面积排行第十二位。狮子座中亮于5.5等的恒星有52颗，最亮星为轩辕十四（狮子座α），视星等为1.35。每年3月1日子夜狮子座中心经过上中天。
1016,狮子座|《狮子座》,《狮子座》是一首曾轶可演唱的歌曲。由曾轶可创作，收录在专辑：新花怒放·曾轶可邵夷贝演唱会
